Label,Type,Symbol,Description,Name on GPS,Comment,Easting,Northing,Zone,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,735759.747,4977903.477,18T,,0000.0000,0000.0000
,,City (Small),,,,264543.478,4977547.479,19T,,0000.0000,0000.0000
,,City (Small),,,,264541.026,4977480.828,19T,,0000.0000,0000.0000
,,City (Small),,,,735651.167,4977632.509,18T,,0000.0000,0000.0000
,,City (Small),,,,732580.719,4978821.616,18T,,0000.0000,0000.0000
,,City (Small),,,,720075.504,4979658.230,18T,,0000.0000,0000.0000
,,City (Small),,,,715972.138,4978828.824,18T,,0000.0000,0000.0000
,,City (Small),,,,720258.894,4979608.934,18T,,0000.0000,0000.0000
,,City (Small),,,,722881.300,4980978.835,18T,,0000.0000,0000.0000
,,City (Small),,,,720718.124,4981637.830,18T,,0000.0000,0000.0000
,,City (Small),,,,720171.335,4979628.163,18T,,0000.0000,0000.0000
,,City (Small),,,,720188.646,4979584.271,18T,,0000.0000,0000.0000
,,City (Small),,,,723125.077,4981009.583,18T,,0000.0000,0000.0000
,,City (Small),,,,723125.077,4981009.583,18T,,0000.0000,0000.0000
,,City (Small),,,,720165.357,4979572.348,18T,,0000.0000,0000.0000
,,City (Small),,,,720790.478,4981829.402,18T,,0000.0000,0000.0000
,,City (Small),,,,720148.047,4979616.239,18T,,0000.0000,0000.0000
,,City (Small),,,,720148.047,4979616.239,18T,,0000.0000,0000.0000
,,City (Small),,,,720443.899,4979971.207,18T,,0000.0000,0000.0000
,,City (Small),,,,713940.401,4978871.763,18T,,0000.0000,0000.0000
,,City (Small),,,,721804.658,4976492.593,18T,,0000.0000,0000.0000
,,City (Small),,,,718511.085,4980360.858,18T,,0000.0000,0000.0000
,,City (Small),,,,720492.541,4979705.960,18T,,0000.0000,0000.0000
,,City (Small),,,,717581.509,4979128.035,18T,,0000.0000,0000.0000
,,City (Small),,,,719147.496,4979537.390,18T,,0000.0000,0000.0000
,,City (Small),,,,719889.957,4979540.630,18T,,0000.0000,0000.0000
,,City (Small),,,,721043.917,4979980.798,18T,,0000.0000,0000.0000
,,City (Small),,,,712407.125,4981033.729,18T,,0000.0000,0000.0000
,,City (Small),,,,724144.869,4981434.540,18T,,0000.0000,0000.0000
,,City (Small),,,,718861.633,4979349.654,18T,,0000.0000,0000.0000
,,City (Small),,,,719470.580,4978870.043,18T,,0000.0000,0000.0000
,,City (Small),,,,721445.155,4980484.047,18T,,0000.0000,0000.0000
,,City (Small),,,,720503.571,4980073.361,18T,,0000.0000,0000.0000
,,City (Small),,,,721461.877,4979316.819,18T,,0000.0000,0000.0000
,,City (Small),,,,720170.188,4979661.489,18T,,0000.0000,0000.0000
,,City (Small),,,,718973.906,4978608.346,18T,,0000.0000,0000.0000
,,City (Small),,,,721292.366,4980334.171,18T,,0000.0000,0000.0000
,,City (Small),,,,720924.047,4978419.590,18T,,0000.0000,0000.0000
,,City (Small),,,,720624.601,4979999.683,18T,,0000.0000,0000.0000
,,City (Small),,,,720240.435,4979686.151,18T,,0000.0000,0000.0000
,,City (Small),,,,720186.492,4979417.370,18T,,0000.0000,0000.0000
,,City (Small),,,,720251.004,4979608.662,18T,,0000.0000,0000.0000
,,City (Small),,,,720328.522,4979422.261,18T,,0000.0000,0000.0000
